month,year,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_list_price,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,parent_metro_region,parent_metro_region_metro_code
January,2019,"North Providence, RI",North Providence,Rhode Island,RI,Multi-Family (2-4 Unit),4,230000.0,234900.0,9.0,3.0,4.0,10.0,1.1,37.0,0.936533307497372,0.1111111111111111,0.2,"Providence, RI",39300.0
June,2021,"Bonita, CA",Bonita,California,CA,All Residential,-1,930000.0,899900.0,18.0,17.0,19.0,16.0,0.9,18.0,1.0142127678586574,0.5,0.25,"San Diego, CA",41740.0
April,2015,"La Palma, CA",La Palma,California,CA,Single Family Residential,6,670000.0,633950.0,7.0,13.0,10.0,10.0,1.4,46.0,0.9820908669039312,0.1428571428571428,0.4,"Anaheim, CA",11244.0
January,2015,"Sea Cliff, NY",Sea Cliff,New York,NY,Multi-Family (2-4 Unit),4,719500.0,,2.0,,,2.0,1.0,49.0,0.857653791130186,0.0,,"Nassau County, NY",35004.0
July,2012,"Somerset, WI",Somerset,Wisconsin,WI,Single Family Residential,6,109500.0,124900.0,5.0,5.0,3.0,18.0,3.6,48.0,0.9569668357779672,0.4,,"Minneapolis, MN",33460.0
March,2019,"Earlville, NY",Earlville,New York,NY,All Residential,-1,100300.0,,1.0,2.0,,5.0,5.0,99.0,0.8428571428571427,0.0,0.2,"Syracuse, NY",45060.0
November,2014,"Lewiston, MN",Lewiston,Minnesota,MN,Single Family Residential,6,85000.0,129900.0,1.0,1.0,1.0,8.0,8.0,371.0,1.0911424903722722,1.0,0.125,"Winona, MN",49100.0
January,2017,"Lafayette, LA",Lafayette,Louisiana,LA,Multi-Family (2-4 Unit),4,167000.0,209000.0,2.0,2.0,1.0,2.0,1.0,52.0,0.900776397515528,0.0,,"Lafayette, LA",29180.0
September,2017,"Cedar Park, TX",Cedar Park,Texas,TX,Townhouse,13,280000.0,299844.5,3.0,1.0,2.0,13.0,4.3,90.0,0.9553102111467576,0.0,0.3846153846153846,"Austin, TX",12420.0
May,2023,"Arden-Arcade, CA",Arden-Arcade,California,CA,Multi-Family (2-4 Unit),4,537000.0,499000.0,3.0,2.0,2.0,5.0,1.7,5.0,1.0130222222222225,0.6666666666666666,0.2,"Sacramento, CA",40900.0
April,2023,"Chesapeake, VA",Chesapeake,Virginia,VA,Single Family Residential,6,390000.0,400000.0,254.0,264.0,265.0,317.0,1.2,21.0,1.0086876559238314,0.4842519685039369,0.1640378548895899,"Virginia Beach, VA",47260.0
February,2012,"Creve Coeur, IL",Creve Coeur,Illinois,IL,Single Family Residential,6,50000.0,86900.0,1.0,1.0,2.0,25.0,25.0,140.0,1.0,0.0,,"Peoria, IL",37900.0
May,2021,"Grand Coulee, WA",Grand Coulee,Washington,WA,All Residential,-1,140000.0,276000.0,1.0,1.0,2.0,1.0,1.0,137.0,1.0007147962830594,1.0,,"Moses Lake, WA",34180.0
June,2021,"Stuarts Draft, VA",Stuarts Draft,Virginia,VA,All Residential,-1,267750.0,289900.0,20.0,20.0,22.0,34.0,1.7,59.0,1.0048058747037307,0.45,,"Staunton, VA",44420.0
February,2024,"Waianae, HI",Waianae,Hawaii,HI,All Residential,-1,700000.0,322500.0,3.0,8.0,18.0,57.0,19.0,146.0,0.9688319383023432,0.0,0.1228070175438596,"Honolulu, HI",46520.0
September,2015,"Marquette, MI",Marquette,Michigan,MI,Condo/Co-op,3,380000.0,168200.0,3.0,3.0,1.0,12.0,4.0,92.0,0.9622880851357696,0.0,,"Marquette, MI",32100.0
December,2022,"Kelly Ridge, CA",Kelly Ridge,California,CA,Single Family Residential,6,317500.0,,4.0,3.0,,7.0,1.8,84.0,1.0068774246637202,0.75,0.2857142857142857,"Chico, CA",17020.0
August,2016,"Port Clinton, OH",Port Clinton,Ohio,OH,Condo/Co-op,3,122200.0,,6.0,6.0,,10.0,1.7,169.0,0.9515622162827174,0.0,,"Toledo, OH",45780.0
May,2024,"Greenwood, LA",Greenwood,Louisiana,LA,Single Family Residential,6,275000.0,284000.0,2.0,1.0,1.0,10.0,5.0,25.0,0.9328668672930968,0.0,0.2,"Shreveport, LA",43340.0
August,2021,"Ferrysburg, MI",Ferrysburg,Michigan,MI,Single Family Residential,6,297500.5,275000.0,4.0,5.0,1.0,3.0,0.8,4.0,1.0296958725551413,0.5,,"Grand Rapids, MI",24340.0
July,2017,"Rotonda, FL",Rotonda,Florida,FL,All Residential,-1,242000.0,197000.0,53.0,43.0,64.0,331.0,6.2,56.0,0.9459754010415932,0.0377358490566037,0.1057401812688821,"Punta Gorda, FL",39460.0
December,2016,"Woodstock, IL",Woodstock,Illinois,IL,Townhouse,13,159480.0,153240.0,5.0,6.0,2.0,28.0,5.6,41.0,0.9819591617945184,0.2,0.0357142857142857,"Chicago, IL",16984.0
February,2017,"Newport, NC",Newport,North Carolina,NC,All Residential,-1,109500.0,200700.0,3.0,3.0,4.0,27.0,9.0,205.0,0.9613384982756108,0.0,,"Morehead City, NC",33980.0
January,2017,"Marana, AZ",Marana,Arizona,AZ,Townhouse,13,202000.0,267450.0,2.0,3.0,1.0,9.0,4.5,101.0,0.9873737373737372,0.0,0.3333333333333333,"Tucson, AZ",46060.0
December,2014,"Fowlerville, MI",Fowlerville,Michigan,MI,All Residential,-1,137550.0,97900.0,4.0,4.0,3.0,20.0,5.0,24.0,1.0311935870302475,0.25,,"Warren, MI",47664.0
May,2018,"Topsail Beach, NC",Topsail Beach,North Carolina,NC,Single Family Residential,6,670000.0,412450.0,9.0,9.0,3.0,33.0,3.7,114.0,0.9390723420666186,0.0,,"Wilmington, NC",48900.0
June,2012,"Richfield, MN",Richfield,Minnesota,MN,All Residential,-1,155000.0,161450.0,45.0,45.0,68.0,144.0,3.2,40.0,0.9776246504335004,0.2666666666666666,,"Minneapolis, MN",33460.0
May,2019,"Tukwila, WA",Tukwila,Washington,WA,Condo/Co-op,3,174600.0,439000.0,5.0,3.0,3.0,7.0,1.4,6.0,1.0089342870627465,0.4,0.4285714285714285,"Seattle, WA",42644.0
December,2014,"San Bruno, CA",San Bruno,California,CA,Single Family Residential,6,815000.0,729000.0,27.0,12.0,11.0,9.0,0.2999999999999999,19.0,1.029212829105436,0.5925925925925924,0.1111111111111111,"San Francisco, CA",41884.0
January,2023,"Bridgeton, MO",Bridgeton,Missouri,MO,All Residential,-1,250000.0,217499.5,5.0,,8.0,10.0,2.0,70.0,0.9426060470732088,0.0,0.2999999999999999,"St. Louis, MO",41180.0
August,2019,"Redondo Beach, CA",Redondo Beach,California,CA,Townhouse,13,1150000.0,1130000.0,29.0,39.0,38.0,71.0,2.4,25.0,1.0021807447216105,0.3793103448275861,0.2394366197183098,"Los Angeles, CA",31084.0
November,2012,"Franklinton, LA",Franklinton,Louisiana,LA,All Residential,-1,120000.0,135000.0,3.0,3.0,3.0,19.0,6.3,198.0,0.9338370364288204,0.3333333333333333,,"Bogalusa, LA",14220.0
April,2023,"Leavenworth, KS",Leavenworth,Kansas,KS,Multi-Family (2-4 Unit),4,280000.0,231500.0,1.0,,3.0,,4.0,184.0,,,0.5,"Kansas City, MO",28140.0
August,2016,"Elsberry, MO",Elsberry,Missouri,MO,All Residential,-1,100000.0,63500.0,3.0,,5.0,19.0,6.3,48.0,0.945213929232322,0.0,0.3684210526315789,"St. Louis, MO",41180.0
May,2019,"Rochester, NY",Rochester,New York,NY,Single Family Residential,6,96500.0,118900.0,133.0,196.0,211.0,169.0,1.3,11.0,0.9998389216066514,0.4736842105263157,0.2781065088757396,"Rochester, NY",40380.0
November,2022,"Lehigh Acres, FL",Lehigh Acres,Florida,FL,Condo/Co-op,3,207500.0,344900.0,6.0,4.0,4.0,8.0,1.3,32.0,0.9412826427659258,0.3333333333333333,,"Cape Coral, FL",15980.0
April,2023,"Highland Park, TX",Highland Park,Texas,TX,All Residential,-1,3603990.0,2600000.0,8.0,15.0,17.0,29.0,3.6,19.0,0.9821643629342466,0.375,0.3103448275862069,"Dallas, TX",19124.0
July,2024,"Breckenridge Hills, MO",Breckenridge Hills,Missouri,MO,Single Family Residential,6,137500.0,133950.0,6.0,,4.0,4.0,0.6999999999999998,18.0,0.9688511352552108,0.1666666666666666,0.25,"St. Louis, MO",41180.0
May,2023,"La Grande, OR",La Grande,Oregon,OR,Multi-Family (2-4 Unit),4,312500.0,,2.0,,,,,1.0,1.017890470857996,1.0,,"La Grande, OR",29260.0
July,2020,"Seven Fields, PA",Seven Fields,Pennsylvania,PA,Single Family Residential,6,405000.0,399900.0,2.0,3.0,5.0,10.0,5.0,51.0,1.0131332082551596,0.5,,"Pittsburgh, PA",38300.0
May,2021,"Yorkshire, VA",Yorkshire,Virginia,VA,All Residential,-1,440000.0,449950.0,15.0,17.0,16.0,12.0,0.8,15.0,1.0393106956425704,0.7333333333333332,,"Washington, DC",47894.0
December,2022,"East Brookfield, MA",East Brookfield,Massachusetts,MA,Single Family Residential,6,572000.0,317400.0,2.0,2.0,2.0,5.0,2.5,12.0,1.008849557522124,0.5,,"Worcester, MA",49340.0
February,2020,"Rosaryville, MD",Rosaryville,Maryland,MD,Single Family Residential,6,355000.0,345000.0,9.0,22.0,10.0,23.0,2.6,62.0,0.9976106253224613,0.4444444444444444,0.217391304347826,"Washington, DC",47894.0
August,2015,"Treasure Island, FL",Treasure Island,Florida,FL,Single Family Residential,6,480000.0,455000.0,12.0,15.0,12.0,43.0,3.6,37.0,0.9545646130243158,0.0,0.1395348837209302,"Tampa, FL",45300.0
May,2023,"Petersburg, VA",Petersburg,Virginia,VA,Multi-Family (2-4 Unit),4,132400.0,185983.0,4.0,4.0,3.0,6.0,1.5,18.0,0.8882966214296137,0.0,0.1666666666666666,"Richmond, VA",40060.0
March,2013,"Parker, SC",Parker,South Carolina,SC,All Residential,-1,37500.0,41999.5,4.0,3.0,8.0,31.0,7.8,97.0,0.9031013323345252,0.0,,"Greenville, SC",24860.0
August,2015,"Pardeeville, WI",Pardeeville,Wisconsin,WI,All Residential,-1,175000.0,164900.0,3.0,7.0,9.0,37.0,12.3,61.0,0.922586622197517,0.0,0.1351351351351351,"Madison, WI",31540.0
June,2024,"Fort Denaud, FL",Fort Denaud,Florida,FL,All Residential,-1,415000.0,539950.0,3.0,8.0,4.0,34.0,11.3,83.0,0.969227259804632,0.0,0.1176470588235294,"Clewiston, FL",17500.0
June,2016,"Framingham, MA",Framingham,Massachusetts,MA,Condo/Co-op,3,615080.0,,4.0,,,,,83.0,1.071967798385147,1.0,,"Boston, MA",14454.0
